행정구역별(도/특별시/광역시),행정구역별(시/구),총사고발생건수,총자동차수,사망자수,부상자수,주민등록인구수(등록외국인포함),총사고유형별,차대사람,차대차,차량단독,차량기타,총사고자동차종류별,승용차,승합차,화물,특수,이륜차,자동차기타
충청남도,부여군,201,35600,6,285,66472,201,32,154,15,0,201,115,5,54,,15,12
충청남도,서천군,289,28003,14,416,53143,289,48,205,36,0,289,164,4,69,3,23,26
충청남도,청양군,170,17906,9,254,31571,170,23,107,40,0,170,97,5,39,3,16,10
충청남도,홍성군,322,54452,12,443,102458,322,45,262,15,0,322,194,16,67,2,29,14
충청남도,예산군,375,44577,13,555,80112,375,55,288,32,0,375,214,14,87,4,30,26
충청남도,태안군,299,35058,16,523,63598,299,48,220,31,0,299,183,10,70,4,14,18
전라북도,전주시,2081,334386,39,3110,666177,2081,441,1608,32,0,2081,1555,109,207,129,2,79
전라북도,군산시,1101,136647,25,1740,273651,1101,198,877,26,0,1101,803,38,153,60,1,46
전라북도,익산시,1077,142300,21,1568,286990,1077,213,841,23,0,1077,744,38,158,94,1,42
전라북도,정읍시,473,57930,16,727,111239,473,79,363,31,0,473,285,14,104,44,1,25
전라북도,남원시,269,45576,12,351,81615,269,58,189,22,0,269,163,4,61,24,2,15
전라북도,김제시,450,47273,34,769,84326,450,71,365,14,0,450,288,13,111,16,1,21
전라북도,완주군,221,54708,15,321,94835,221,33,174,14,0,221,133,14,41,15,1,17
전라북도,진안군,96,14380,18,173,25730,96,13,65,18,0,96,52,4,24,11,1,4
전라북도,무주군,87,13395,7,136,24252,87,16,62,9,0,87,46,3,29,7,0,2
전라북도,장수군,64,12461,4,76,22436,64,12,32,20,0,64,19,3,19,17,2,4
전라북도,임실군,139,14842,6,181,27604,139,12,86,11,30,139,66,13,45,7,1,7
전라북도,순창군,108,14927,3,157,28164,108,14,78,16,0,108,59,6,39,0,2,2
전라북도,고창군,139,31167,9,222,55424,139,23,108,8,0,139,66,13,45,0,7,8
전라북도,부안군,207,28155,8,316,52949,207,29,141,37,0,207,119,7,45,0,10,26
전라남도,목포시,1779,101424,27,3024,227178,1779,288,1447,44,0,1779,1222,59,250,3,157,88
전라남도,여수시,1635,138454,27,2511,284866,1635,279,1305,51,0,1635,1148,81,212,11,118,65
전라남도,순천시,1321,145022,27,1984,284238,1321,206,1066,49,0,1321,901,43,179,8,125,65
전라남도,나주시,486,67726,17,796,118251,486,68,378,40,0,486,275,23,105,7,50,26
전라남도,광양시,654,88660,14,1015,153332,654,94,509,51,0,654,449,20,107,18,39,21
전라남도,담양군,476,28290,19,935,47199,476,30,407,39,0,476,298,17,102,8,28,23
전라남도,곡성군,112,15537,6,167,28514,112,14,80,18,0,112,49,3,28,1,23,8
전라남도,구례군,109,13928,8,156,25925,109,25,69,15,0,109,62,3,23,0,16,5
전라남도,고흥군,317,32727,17,484,64923,317,49,205,63,0,317,141,16,95,0,47,18
전라남도,보성군,214,47300,11,352,40921,214,36,142,36,0,214,103,9,63,1,31,7
전라남도,화순군,318,34736,12,523,63359,318,49,233,36,0,318,200,12,50,4,31,21
전라남도,장흥군,255,20664,9,403,38334,255,24,179,52,0,255,124,9,72,0,22,28
전라남도,강진군,303,19828,5,459,35042,303,36,201,66,0,303,165,10,70,0,44,14
전라남도,해남군,281,42523,16,419,70218,281,47,214,20,0,281,141,11,97,1,20,11
전라남도,영암군,399,43050,9,700,57868,399,28,340,31,0,399,225,14,109,3,28,20
전라남도,무안군,389,47238,14,597,87630,389,48,319,22,0,389,253,16,69,3,38,10
전라남도,함평군,175,46378,6,294,32685,175,18,124,33,0,175,79,11,48,1,27,9
전라남도,영광군,187,28542,12,308,54026,187,30,138,19,0,187,108,6,48,0,21,4
전라남도,장성군,222,27810,5,320,45457,222,23,180,19,0,222,118,8,58,0,19,19
전라남도,완도군,168,26107,12,242,52128,168,46,109,13,0,168,75,5,67,1,14,6
전라남도,진도군,105,17487,8,154,32659,105,19,76,10,0,105,55,4,29,0,13,4
전라남도,신안군,105,66463,10,177,39702,105,13,79,13,0,105,44,6,42,0,5,8
경상북도,포항시,2522,271960,28,3793,508791,2522,369,2077,76,0,2522,1764,67,253,33,254,151
경상북도,경주시,1242,145520,36,1875,263704,1242,196,971,74,1,1242,855,36,204,7,81,59
경상북도,김천시,491,76063,19,640,142757,491,95,359,37,0,491,292,20,103,2,46,28
경상북도,안동시,762,85324,18,1196,160217,762,120,607,35,0,762,470,28,129,3,78,54
경상북도,구미시,1652,220317,25,2256,420987,1652,245,1340,67,0,1652,1145,64,175,13,140,115
경상북도,영주시,466,57225,14,615,104012,466,86,362,18,0,466,270,14,118,4,40,20
경상북도,영천시,709,62199,12,1163,104875,709,87,573,49,0,709,442,15,174,7,37,34
경상북도,상주시,436,54957,25,575,98138,436,59,329,48,0,436,239,15,106,4,33,39
경상북도,문경시,275,37684,8,394,72067,275,58,193,24,0,275,157,11,55,0,29,23
경상북도,경산시,908,141274,23,1173,274117,908,207,663,38,0,908,609,37,125,3,78,56
경상북도,군위군,96,15249,6,138,23748,96,10,72,14,0,96,42,1,28,2,7,16
경상북도,의성군,197,31871,12,284,52294,197,24,151,22,0,197,95,3,64,0,22,13
경상북도,청송군,74,15957,9,90,25223,74,19,45,10,0,74,41,2,23,0,5,3
경상북도,영양군,63,9904,3,99,16884,63,11,45,7,0,63,36,3,19,0,1,4
